count,category
1121,NYC.Issued Prepandemic.Commercial.Non-Payment
126,Outside NYC.Issued Pandemic.All.Holdover
7482,Outside NYC.Issued Pandemic.Residential.Non-Payment
699,NYC.Issued Pandemic.Commercial.Holdover
552,NYC.Issued Prepandemic.Commercial.Holdover
416,Outside NYC.Issued Pandemic.All.Non-Payment
65,Outside NYC.Issued Pandemic.Commercial.Holdover
6757,NYC.Issued Prepandemic.Residential.Holdover
376,Outside NYC.Issued Prepandemic.All.Non-Payment
4296,NYC.Issued Pandemic.Commercial.Non-Payment
154,Outside NYC.Issued Pandemic.Commercial.Non-Payment
24419,NYC.Issued Prepandemic.Residential.Non-Payment
69,Outside NYC.Issued Prepandemic.All.Holdover
110345,NYC.Issued Pandemic.Residential.Non-Payment
1897,Outside NYC.Issued Pandemic.Residential.Holdover
16966,NYC.Issued Pandemic.Residential.Holdover
