court_name,zipcode,filings
Albany City Court,12054,2
Albany City Court,12205,36
Albany City Court,12211,4
Albany City Court,12180,2
Albany City Court,12207,379
Albany City Court,12304,1
Albany City Court,12202,1396
Albany City Court,12206,1467
Albany City Court,12303,1
Albany City Court,12210,1359
Albany City Court,12308,2
Albany City Court,00000,11
Albany City Court,12047,1
Albany City Court,12209,292
Albany City Court,12110,1
Albany City Court,12204,218
Albany City Court,12090,1
Albany City Court,12201,3
Albany City Court,12203,407
Albany City Court,12208,553
Albany City Court,12305,1
Albany City Court,12220,1
Amsterdam City Court,12010,624
Amsterdam City Court,12068,1
Amsterdam City Court,10040,1
Auburn City Court,13201,1
Auburn City Court,13033,1
Auburn City Court,13021,1031
Batavia City Court,14020,336
Beacon City Court,12508,247
Beacon City Court,10523,2
Binghamton City Court,13790,2
Binghamton City Court,13901,522
Binghamton City Court,13903,510
Binghamton City Court,13905,1000
Binghamton City Court,13732,1
Binghamton City Court,13904,216
Binghamton City Court,32579,1
Binghamton City Court,13850,2
Binghamton City Court,13902,3
Binghamton City Court,13797,1
Binghamton City Court,13760,2
Buffalo City Court,14150,495
Buffalo City Court,14218,16
Buffalo City Court,14080,29
Buffalo City Court,14214,771
Buffalo City Court,14032,10
Buffalo City Court,14034,3
Buffalo City Court,14215,2904
Buffalo City Court,14120,1
Buffalo City Court,14208,666
Buffalo City Court,14231,1
Buffalo City Court,14210,529
Buffalo City Court,14760,1
Buffalo City Court,14202,209
Buffalo City Court,14301,2
Buffalo City Court,14140,1
Buffalo City Court,14213,1061
Buffalo City Court,14047,30
Buffalo City Court,14240,5
Buffalo City Court,14216,620
Buffalo City Court,14170,3
Buffalo City Court,14209,412
Buffalo City Court,14205,1
Buffalo City Court,14068,21
Buffalo City Court,14086,84
Buffalo City Court,14226,245
Buffalo City Court,14070,11
Buffalo City Court,14136,1
Buffalo City Court,14057,6
Buffalo City Court,14219,86
Buffalo City Court,14006,59
Buffalo City Court,14085,3
Buffalo City Court,14220,486
Buffalo City Court,14223,222
