court_name,zipcode,filings
Albany City Court,12180,4
Albany City Court,12207,465
Albany City Court,00000,1
Albany City Court,12204,272
Albany City Court,12206,1640
Albany City Court,12047,1
Albany City Court,12211,4
Albany City Court,12203,486
Albany City Court,12308,2
Albany City Court,12210,1485
Albany City Court,12305,2
Albany City Court,12054,2
Albany City Court,12209,292
Albany City Court,12202,1610
Albany City Court,12303,1
Albany City Court,12226,1
Albany City Court,12090,1
Albany City Court,12208,660
Albany City Court,12205,33
Amsterdam City Court,12010,636
Amsterdam City Court,10040,1
Auburn City Court,13021,882
Auburn City Court,13033,1
Batavia City Court,14020,406
Beacon City Court,10523,2
Beacon City Court,12508,256
Binghamton City Court,13901,524
Binghamton City Court,32579,1
Binghamton City Court,13905,924
Binghamton City Court,13797,1
Binghamton City Court,13850,1
Binghamton City Court,13760,3
Binghamton City Court,13902,2
Binghamton City Court,13904,236
Binghamton City Court,13903,490
Binghamton City Court,13790,2
Buffalo City Court,14169,1
Buffalo City Court,14202,221
Buffalo City Court,14219,115
Buffalo City Court,14228,382
Buffalo City Court,14211,1885
Buffalo City Court,14227,583
Buffalo City Court,14225,677
Buffalo City Court,14026,1
Buffalo City Court,14033,6
Buffalo City Court,14059,22
Buffalo City Court,14086,105
Buffalo City Court,14204,663
Buffalo City Court,14212,715
Buffalo City Court,14031,34
Buffalo City Court,14127,68
Buffalo City Court,14201,743
Buffalo City Court,14032,13
Buffalo City Court,14034,7
Buffalo City Court,14203,181
Buffalo City Court,14075,439
Buffalo City Court,14030,2
Buffalo City Court,14141,32
Buffalo City Court,14224,182
Buffalo City Court,14069,2
Buffalo City Court,14208,722
Buffalo City Court,14052,50
Buffalo City Court,14072,102
Buffalo City Court,14207,1404
Buffalo City Court,14051,27
Buffalo City Court,14047,36
Buffalo City Court,14213,1234
Buffalo City Court,14210,588
Buffalo City Court,14123,1
Buffalo City Court,14025,11
Buffalo City Court,14760,1
Buffalo City Court,14055,3
Buffalo City Court,14134,3
Buffalo City Court,14085,6
Buffalo City Court,14215,3176
Buffalo City Court,14220,530
Buffalo City Court,14170,4
Buffalo City Court,14001,52
Buffalo City Court,14209,512
Buffalo City Court,14027,3
Buffalo City Court,14214,881
Buffalo City Court,14068,36
Buffalo City Court,14080,32
Buffalo City Court,14222,557
Buffalo City Court,14081,4
Buffalo City Court,14206,1034
Buffalo City Court,14221,199
Buffalo City Court,14226,326
Buffalo City Court,14043,208
Buffalo City Court,14223,280
Buffalo City Court,14218,19
Buffalo City Court,14150,479
Buffalo City Court,14094,1
Buffalo City Court,14091,1
Buffalo City Court,14006,70
Buffalo City Court,14070,16
Buffalo City Court,14057,11
Buffalo City Court,14111,11
Buffalo City Court,14205,1
Buffalo City Court,14096,1
Buffalo City Court,14004,30
Buffalo City Court,14217,246
Buffalo City Court,14139,3
Buffalo City Court,14216,615
Canandaigua City Court,14424,162
Cohoes City Court,12047,1113
Corning City Court,14870,1
Corning City Court,14843,2
Corning City Court,14830,242
Cortland City Court,13045,645
Cortland City Court,13042,1
Cortland City Court,13141,1
Dunkirk City Court,14063,2
Dunkirk City Court,14048,121
Elmira City Court,14902,1
Elmira City Court,14905,195
Elmira City Court,14904,364
Elmira City Court,14901,688
Fulton City Court,13069,432
Geneva City Court,14456,368
Glen Cove City Court,11542,442
Glens Falls City Court,12801,429
Glens Falls City Court,12804,1
Gloversville City Court,12078,478
Hornell City Court,14843,264
Hudson City Court,12534,140
Ithaca City Court,14850,422
Ithaca City Court,13901,1
Jamestown City Court,14701,1003
Jamestown City Court,14733,2
Johnstown City Court,12095,194
Kingston City Court,12401,506
Lackawanna City Court,14218,686
Lackawanna City Court,14222,1
Lackawanna City Court,14219,5
Little Falls City Court,13454,1
Little Falls City Court,13340,1
Little Falls City Court,13365,97
Lockport City Court,14303,2
Lockport City Court,14094,708
Long Beach City Court,11561,347
Long Beach City Court,11558,1
Mechanicville City Court,12118,183
Middletown City Court,10941,2
Middletown City Court,10940,799
Mt. Vernon City Court,10550,3275
Mt. Vernon City Court,11201,1
Mt. Vernon City Court,10552,571
Mt. Vernon City Court,10801,1
Mt. Vernon City Court,10553,373
Mt. Vernon City Court,10704,6
Mt. Vernon City Court,10708,1
Nassau County District Court - 1st District,11743,1
Nassau County District Court - 1st District,11710,149
Nassau County District Court - 1st District,11050,160
Nassau County District Court - 1st District,11514,58
Nassau County District Court - 1st District,11757,1
Nassau County District Court - 1st District,11568,8
Nassau County District Court - 1st District,11575,204
Nassau County District Court - 1st District,11598,78
Nassau County District Court - 1st District,11024,48
Nassau County District Court - 1st District,11581,189
Nassau County District Court - 1st District,11716,1
Nassau County District Court - 1st District,11553,355
Nassau County District Court - 1st District,11570,437
Nassau County District Court - 1st District,11797,27
Nassau County District Court - 1st District,11791,72
Nassau County District Court - 1st District,11001,130
Nassau County District Court - 1st District,10030,1
Nassau County District Court - 1st District,11579,21
Nassau County District Court - 1st District,11561,198
Nassau County District Court - 1st District,11580,432
Nassau County District Court - 1st District,11010,105
Nassau County District Court - 1st District,11765,2
Nassau County District Court - 1st District,11576,44
Nassau County District Court - 1st District,11542,67
Nassau County District Court - 1st District,11762,28
Nassau County District Court - 1st District,11551,1
Nassau County District Court - 1st District,11590,607
Nassau County District Court - 1st District,11547,3
Nassau County District Court - 1st District,11531,1
Nassau County District Court - 1st District,11566,86
Nassau County District Court - 1st District,11552,263
Nassau County District Court - 1st District,11201,1
Nassau County District Court - 1st District,11793,73
Nassau County District Court - 1st District,11798,1
Nassau County District Court - 1st District,11735,318
Nassau County District Court - 1st District,11530,221
Nassau County District Court - 1st District,11030,40
Nassau County District Court - 1st District,11803,73
Nassau County District Court - 1st District,11801,359
Nassau County District Court - 1st District,11020,49
Nassau County District Court - 1st District,11569,3
Nassau County District Court - 1st District,11901,1
Nassau County District Court - 1st District,11548,6
Nassau County District Court - 1st District,11545,27
Nassau County District Court - 1st District,11753,64
Nassau County District Court - 1st District,11696,1
Nassau County District Court - 1st District,11510,292
Nassau County District Court - 1st District,11556,3
Nassau County District Court - 1st District,11560,33
Nassau County District Court - 1st District,11554,233
Nassau County District Court - 1st District,11563,219
Nassau County District Court - 1st District,11565,18
Nassau County District Court - 1st District,11518,94
Nassau County District Court - 1st District,10022,2
Nassau County District Court - 1st District,11771,70
Nassau County District Court - 1st District,11582,1
Nassau County District Court - 1st District,11746,1
Nassau County District Court - 1st District,11426,2
Nassau County District Court - 1st District,11732,37
Nassau County District Court - 1st District,11714,96
Nassau County District Court - 1st District,11520,875
Nassau County District Court - 1st District,11709,22
Nassau County District Court - 1st District,11550,2739
Nassau County District Court - 1st District,11596,40
Nassau County District Court - 1st District,11507,17
Nassau County District Court - 1st District,11501,270
Nassau County District Court - 1st District,11758,256
Nassau County District Court - 1st District,11572,167
Nassau County District Court - 1st District,11804,9
Nassau County District Court - 1st District,11558,92
Nassau County District Court - 1st District,11516,126
Nassau County District Court - 1st District,11042,3
Nassau County District Court - 1st District,11756,233
Nassau County District Court - 1st District,11003,404
Nassau County District Court - 1st District,11783,56
Nassau County District Court - 1st District,11559,54
Nassau County District Court - 1st District,11747,3
Nassau County District Court - 1st District,11021,248
Nassau County District Court - 1st District,11040,118
Nassau County District Court - 1st District,11577,67
Nassau County District Court - 1st District,11509,8
Nassau County District Court - 1st District,11023,70
Nassau County District Court - 1st District,11557,136
Nassau County District Court - 1st District,11571,4
Nassau County District Court - 1st District,11096,225
Nassau County District Court - 4th District,11771,1
Nassau County District Court - 4th District,11758,2
Newburgh City Court,12550,1663
New Rochelle City Court,10801,2230
New Rochelle City Court,10583,8
New Rochelle City Court,10804,24
New Rochelle City Court,10550,1
New Rochelle City Court,10805,415
Niagara Falls City Court,14304,342
Niagara Falls City Court,14305,914
Niagara Falls City Court,14301,1133
Niagara Falls City Court,14092,1
Niagara Falls City Court,14120,1
Niagara Falls City Court,14303,433
Niagara Falls City Court,14302,1
North Tonawanda City Court,14120,379
North Tonawanda City Court,14303,1
North Tonawanda City Court,14094,1
North Tonawanda City Court,14301,3
Norwich City Court,13815,186
Ogdensburg City Court,13669,245
Olean City Court,14760,373
Olean City Court,14779,1
Olean City Court,14770,1
Oneida City Court,13421,280
Oneonta City Court,13364,1
Oneonta City Court,13820,182
Oswego City Court,13126,380
Peekskill City Court,10566,542
Peekskill City Court,10022,1
Peekskill City Court,10567,1
Peekskill City Court,11219,1
Plattsburgh City Court,12901,446
Plattsburgh City Court,12903,7
Port Jervis City Court,12771,342
Poughkeepsie City Court,12603,63
Poughkeepsie City Court,12601,2517
Rensselaer City Court,12144,354
Rochester City Court,14604,486
Rochester City Court,14614,41
Rochester City Court,14615,821
Rochester City Court,14620,1057
Rochester City Court,14609,1805
Rochester City Court,14622,3
Rochester City Court,14626,7
Rochester City Court,14625,1
