count,category
4205,Outside NYC.Issued Pandemic.Residential.Non-Payment
820,NYC.Issued Pandemic.Commercial.Holdover
59,Outside NYC.Issued Pandemic.Commercial.Holdover
319,Outside NYC.Issued Prepandemic.All.Non-Payment
4723,NYC.Issued Pandemic.Commercial.Non-Payment
135,Outside NYC.Issued Pandemic.Commercial.Non-Payment
50,Outside NYC.Issued Prepandemic.All.Holdover
1279,Outside NYC.Issued Pandemic.Residential.Holdover
19085,NYC.Issued Pandemic.Residential.Holdover
1116,NYC.Issued Prepandemic.Commercial.Non-Payment
74,Outside NYC.Issued Pandemic.All.Holdover
551,NYC.Issued Prepandemic.Commercial.Holdover
252,Outside NYC.Issued Pandemic.All.Non-Payment
6580,NYC.Issued Prepandemic.Residential.Holdover
24165,NYC.Issued Prepandemic.Residential.Non-Payment
116620,NYC.Issued Pandemic.Residential.Non-Payment
